ticker,metric,period_end,period_type,value,unit,fy,fp,form,source,retrieved
QCOM,eps,2025-12-28,Q,2.78,USD/shares,2026,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2026-03-29,Q,6.88,USD/shares,2026,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2007-09-30,A,8871000000,USD,2009,FY,10-K/A,SEC EDGAR,2026-06-15
QCOM,revenue,2008-06-29,Q,2762000000,USD,2009,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2008-09-28,A,11142000000,USD,2010,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2008-12-28,Q,2517000000,USD,2010,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2009-03-29,Q,2455000000,USD,2010,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2009-06-28,Q,2753000000,USD,2010,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2009-09-27,A,10387000000,USD,2011,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2009-09-27,Q,2690000000,USD,2010,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2009-12-27,Q,2668000000,USD,2011,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2010-03-28,Q,2661000000,USD,2011,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2010-06-27,Q,2700000000,USD,2011,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2010-09-26,A,10982000000,USD,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2010-09-26,Q,2952000000,USD,2011,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2010-12-26,Q,3348000000,USD,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2011-03-27,Q,3870000000,USD,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2011-06-26,Q,3623000000,USD,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2011-09-25,A,14957000000,USD,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2011-09-25,Q,4117000000,USD,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2011-12-25,Q,4681000000,USD,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2012-03-25,Q,4943000000,USD,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2012-06-24,Q,4626000000,USD,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2012-09-30,A,19121000000,USD,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2012-09-30,Q,4871000000,USD,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2012-12-30,Q,6018000000,USD,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2013-03-31,Q,6124000000,USD,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2013-06-30,Q,6243000000,USD,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2013-09-29,A,24866000000,USD,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2013-09-29,Q,6480000000,USD,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2013-12-29,Q,6622000000,USD,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2014-03-30,Q,6367000000,USD,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2014-06-29,Q,6806000000,USD,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2014-09-28,A,26487000000,USD,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2014-09-28,Q,6692000000,USD,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2014-12-28,Q,7099000000,USD,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2015-03-29,Q,6894000000,USD,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2015-06-28,Q,5832000000,USD,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2015-09-27,A,25281000000,USD,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2015-09-27,Q,5456000000,USD,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2015-12-27,Q,5775000000,USD,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2016-03-27,Q,5551000000,USD,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2016-06-26,Q,6044000000,USD,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2016-09-25,A,23554000000,USD,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2016-09-25,Q,6184000000,USD,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2016-12-25,Q,5999000000,USD,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2017-03-26,Q,5016000000,USD,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2017-06-25,Q,5356000000,USD,2019,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2017-09-24,A,22258000000,USD,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2017-09-24,Q,5888000000,USD,2019,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2017-12-24,Q,6035000000,USD,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2018-03-25,Q,5220000000,USD,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2018-06-24,Q,5577000000,USD,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2018-09-30,A,22611000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2018-09-30,Q,5778000000,USD,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2018-12-30,Q,4842000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2019-03-31,Q,4982000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2019-06-30,Q,9635000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2019-09-29,A,24273000000,USD,2021,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2019-09-29,Q,4814000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2019-12-29,Q,5077000000,USD,2021,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2020-03-29,Q,5216000000,USD,2021,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2020-06-28,Q,4893000000,USD,2021,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2020-09-27,A,23531000000,USD,2022,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2020-09-27,Q,8346000000,USD,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,revenue,2020-12-27,Q,8235000000,USD,2022,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2021-03-28,Q,7935000000,USD,2022,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2021-06-27,Q,8060000000,USD,2022,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,revenue,2021-09-26,A,33566000000,USD,2023,FY,10-K,SEC EDGAR,2026-06-15
