name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
S&P BSE Sensex,Equity,Equity Large Cap,Asia Pacific,India,N/A,Large,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^BSESN,SENSEXBEES.NS,,,,,,,01/07/1997
Nifty 50,Equity,Equity Large Cap,Asia Pacific,India,N/A,Large,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^NSEI,NIFTYBEES.NS,,,,,,,17/09/2007
Nifty Midcap 100,Equity,Equity Mid Cap,Asia Pacific,India,N/A,Mid,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CRSMID,MID150BEES.NS,,,,,,,17/09/2007
Nifty Smallcap 100,Equity,Equity Small Cap,Asia Pacific,India,N/A,Small,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CNXSC,SMALLCAP.NS,,,,,,,18/03/2024
Bovespa (IBOVESPA),Equity,,Latin America,Brazil,N/A,N/A,N/A,N/A,N/A,BRL,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^BVSP,BOVA11.SA,,,,,,,27/04/1993
KOSPI,Equity,,Asia Pacific,South Korea,N/A,N/A,N/A,N/A,N/A,KRW,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^KS11,069500.KS,,,,,,,11/12/1996
KOSPI 200,Equity,Equity Large Cap,Asia Pacific,South Korea,N/A,Large,N/A,N/A,N/A,KRW,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^KS200,069500.KS,,,,,,,20/03/1996
KOSDAQ,Equity,,Asia Pacific,South Korea,N/A,N/A,N/A,N/A,N/A,KRW,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^KQ11,,,,,,,,16/10/2000
S&P/BMV IPC Index (Mexico),Equity,,Latin America,Mexico,N/A,N/A,N/A,N/A,N/A,MXN,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^MXX,NAFTRAC.MX,,,,,,,08/11/1991
Jakarta Composite (IDX Composite),Equity,Equity Broad,Asia Pacific,Indonesia,N/A,Broad,N/A,N/A,N/A,IDR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^JKSE,,,,,,,,06/04/1990
